date,Power Consumption,Outdoor Temperature,Occupancy
2018-05-26 15:45:00,66.70000043,11.21,0
2018-05-26 16:00:00,56.49000034,11.29,0
2018-05-26 16:15:00,57.00000034,11.32,0
2018-05-26 16:30:00,53.70000024,11.18,0
2018-05-26 16:45:00,55.60000024,11.37,0
2018-05-26 17:00:00,61.2500001,11.57,0
2018-05-26 17:15:00,84.10000017,11.8,1
2018-05-26 17:30:00,57.48999979,11.63,3
2018-05-26 17:45:00,55.39999986,11.9,2
2018-05-26 18:00:00,59.00000029,11.77,3
2018-05-26 18:15:00,56.48999984,11.83,3
2018-05-26 18:30:00,57.69000043,11.84,3
2018-05-26 18:45:00,56.18999976,12.04,3
2018-05-26 19:00:00,57.29999957,12.16,2
2018-05-26 19:15:00,60.20000043,12.22,1
2018-05-26 19:30:00,58.19999957,12.57,1
2018-05-26 19:45:00,56.38999976,12.71,1
2018-05-26 20:00:00,57.29000024,12.8,1
2018-05-26 20:15:00,57.10000017,12.91,1
2018-05-26 20:30:00,54.50000017,13.12,1
2018-05-26 20:45:00,55.08999998,13.19,1
2018-05-26 21:00:00,56.38999991,14.1,1
2018-05-26 21:15:00,56.99999998,13.95,1
2018-05-26 21:30:00,62.39999981,14.28,1
2018-05-26 21:45:00,62.04999998,14.19,1
2018-05-26 22:00:00,53.70000017,14.92,3
2018-05-26 22:15:00,36.50000019,15.26,2
2018-05-26 22:30:00,54.13999967,15.17,2
2018-05-26 22:45:00,53.89999998,15.44,2
2018-05-26 23:00:00,36.0999996,15.72,2
2018-05-26 23:15:00,35.29999976,15.44,2
2018-05-26 23:30:00,34.20000017,15.26,2
2018-05-26 23:45:00,35.30000022,15.35,2
2018-05-27 00:00:00,51.88999956,14.69,0
2018-05-27 00:15:00,34.20000036,14.51,0
2018-05-27 00:30:00,34.99999957,14.61,0
2018-05-27 00:45:00,36.30000005,14.99,2
2018-05-27 01:00:00,79.89999969,14.83,3
2018-05-27 01:15:00,39.19999981,14.74,3
2018-05-27 01:30:00,36.30000036,15.09,3
2018-05-27 01:45:00,37.20000029,14.91,3
2018-05-27 02:00:00,38.59999981,14.72,3
2018-05-27 02:15:00,56.60000036,14.51,3
2018-05-27 02:30:00,56.60000036,14.75,3
2018-05-27 02:45:00,57.03333293,14.76,3
2018-05-27 03:00:00,56.76666634,14.49,3
2018-05-27 03:15:00,61.89999998,14.22,3
2018-05-27 03:30:00,62.39999998,14.04,3
2018-05-27 03:45:00,56.20000024,13.53,3
2018-05-27 04:00:00,58.30000005,13.32,3
2018-05-27 04:15:00,61.60000043,13.09,3
2018-05-27 04:30:00,61.59999965,12.86,3
2018-05-27 04:45:00,53.44999995,12.59,3
2018-05-27 05:00:00,55.79000015,12.31,3
2018-05-27 05:15:00,55.49999965,12.5,3
2018-05-27 05:30:00,57.49999967,12.79,3
2018-05-27 05:45:00,55.10000022,12.77,3
2018-05-27 06:00:00,56.79999962,12.78,3
2018-05-27 06:15:00,57.10000014,12.71,3
2018-05-27 06:30:00,56.80000043,12.77,3
2018-05-27 06:45:00,60.60000022,12.78,3
2018-05-27 07:00:00,63.00000043,12.67,3
2018-05-27 07:15:00,81.48999963,12.73,3
2018-05-27 07:30:00,55.50000005,12.66,3
2018-05-27 07:45:00,54.30000019,11.91,3
2018-05-27 08:00:00,54.70000041,11.68,3
2018-05-27 08:15:00,55.20000041,11.62,3
2018-05-27 08:30:00,53.78999963,11.39,3
2018-05-27 08:45:00,54.30000033,11.18,3
2018-05-27 09:00:00,58.19999964,11.12,3
2018-05-27 09:15:00,56.98999958,11.54,3
2018-05-27 09:30:00,75.80000033,11.74,3
2018-05-27 09:45:00,54.19000038,11.73,3
2018-05-27 10:00:00,56.69999967,11.72,3
2018-05-27 10:15:00,56.90000036,11.68,3
2018-05-27 10:30:00,58.20000024,11.65,3
2018-05-27 10:45:00,57.39999965,11.53,3
2018-05-27 11:00:00,55.25000019,11.34,3
2018-05-27 11:15:00,56.39999965,11.44,3
2018-05-27 11:30:00,62.08999958,11.28,3
2018-05-27 11:45:00,55.90000041,11.07,3
2018-05-27 12:00:00,56.3999996,11.12,3
2018-05-27 12:15:00,57.30000041,11.26,3
2018-05-27 12:30:00,57.59999967,11.13,3
2018-05-27 12:45:00,55.09999958,11.11,3
2018-05-27 13:00:00,55.10000003,11.04,3
2018-05-27 13:15:00,57.09999977,11.04,3
2018-05-27 13:30:00,56.99999996,11.36,3
2018-05-27 13:45:00,61.58999954,11.28,3
2018-05-27 14:00:00,61.78999954,11.34,3
2018-05-27 14:15:00,53.8899996,11.54,3
2018-05-27 14:30:00,53.70000038,11.46,3
2018-05-27 14:45:00,60.70000041,11.47,3
2018-05-27 15:00:00,62.50000074,11.62,3
2018-05-27 15:15:00,62.1999992,11.97,3
2018-05-27 15:30:00,69.10000036,12.14,3
2018-05-27 15:45:00,66.88999935,12.32,3
2018-05-27 16:00:00,64.85000074,12.98,3
2018-05-27 16:15:00,58.98999976,13.4,3
2018-05-27 16:30:00,60.29999976,13.84,3
2018-05-27 16:45:00,60.5999996,14.73,3
2018-05-27 17:00:00,58.69999976,15.08,3
2018-05-27 17:15:00,61.60000014,14.81,3
2018-05-27 17:30:00,59.99999979,14.69,3
2018-05-27 17:45:00,61.99999976,15.07,3
2018-05-27 18:00:00,63.79999991,15.64,3
2018-05-27 18:15:00,55.4999996,16.04,3
2018-05-27 18:30:00,56.10000043,16.2,3
2018-05-27 18:45:00,55.90000033,16.4,3
2018-05-27 19:00:00,61.28999958,16.73,3
